会社名,募集の特徴,雇用形態,掲載期間,事業内容・募集背景,仕事内容,事業概要,所在地,設立,代表者,従業員数,資本金,売上高,平均年齢,連絡先,企業URL
株式会社情報企画（東証二部上場）,研修あり！イチから始めるITエンジニア（文系出身6割、年間休日120日以上、産休・育休実績あり）,正社員,[掲載予定期間：2018/1/15（月）～2018/2/11（日）] 求人コード 3002065289,設立から31年、金融関連のシステム開発に特化し、多くのお取引先から高い支持を得てきた当社。中でも、金融機関にとって最も重要な「信用リスク管理」領域のシステム開発において圧倒的なシェアを誇り、当分野のリーディングカンパニーとして、ニーズを先取りしたシステムを開発し続けています。安定的な受注をいただき、業績は右肩上がり。開発件数の増加に加え、大型のプロジェクトも増えているため、新しい仲間を増員募集！心機一転、新しいキャリアを積みたいと考えている方、あなたらしく活躍できるフィールドを用意しています！ ＜エンジニア思い＞の働きやすさ。 ◆完全土日休み＆年間休日120日以上◆2カ月間の新人研修あり◆自社内開発だから、仕事のスケジュールも立てやすい◆簿記など資格取得支援制度　 etc…エンジニアを「一生の仕事」として末永くキャリアを築くために、働きやすい環境作りに力を入れています。,銀行や信用金庫など、金融機関向けシステムの開発をご担当いただきます。 具体的な仕事内容 【具体的には…】■お客様へのシステムに関する業務説明、打ち合わせ■プログラム開発、動作テスト■納品、システム初期指導■お客様サポート、問い合わせ対応■資料作成　など全て自社内開発のため、他社への派遣や常駐勤務はありません。プロジェクトごとにチームを組み、協力しながら業務を進めていきます。お客様に喜ばれるシステムを作り上げた時の達成感を、一緒に味わいましょう！◆主な使用言語 VB.NET、JavaScript (ASP.NETによるWEBアプリケーションの開発) VBA、　他※入社後、会計の基礎知識として簿記2級を取得していただきます。 （取得のための講座費用などは会社で負担します） まったくの未経験から、SEになれる。 プログラミングの知識がまったく無い方でも心配いりません。まずは2ヶ月間の研修で基礎から学んでいただき、マニュアルなど資料作成を通して当社のシステムのことを知っていただきます。OJTとして、担当の先輩がついて指導を行いますので、分からないことがあればすぐに聞いてくださいね！また、定期的に勉強会を開催しており、金融に関する知識もどんどん深めていくことができます。 チーム／組織構成 20～30代の若手社員が数多く活躍しています。 男女問わず、長くキャリアが積める会社。 女性SEが年々増加する当社では、ライフスタイルが変わっても、ずっと仕事を続けられるよう工夫をしています。たとえば、時短勤務や産休・育休制度。実際に取得し、仕事に復帰した女性社員もおり、周囲からの理解も深いので、仕事と家庭を両立することができます。もっと女性エンジニアが輝くためにも、働きやすい会社の第一線でありたいと考えています。 その他プロジェクト事例 ＜自社パッケージソフト＞■担保不動産評価管理システム ■決算書リーディングシステム ■法人格付システム ■個人事業主格付システム ■自己査定支援システム ■貸倒実績率算定システム ■債権償却・引当金管理システム ■信用リスク計量化システム ■経営計画策定支援システム ■融資稟議支援システム ■契約書作成支援システム ■固定資産管理システム ■決算業務支援システム ■反社会的勢力情報チェックシステム ■リアルタイム連結システム　など,＜100%自社開発＞主に金融機関向けシステムコンサルティング・企画・開発及びデータ入力代行業務　＜導入実績（順不同）＞日本政策金融公庫、農林中央金庫、りそな銀行、新生銀行、イオン銀行、青森銀行、秋田銀行、京都銀行、近畿大阪銀行、南都銀行、紀陽銀行、長野銀行、静岡中央銀行、名古屋銀行、関西アーバン銀行、徳島銀行、香川銀行、高知銀行、八千代銀行、しんきん情報サービス、信組情報サービス、他全国多数,〒541-0052 【本社】大阪市中央区安土町2-3-13 大阪国際ビル,1986年10月1日,代表取締役　公認会計士/ 松岡 仁史,127名,3億2662万5000円,24億1474万円（2017年9月期）,,大阪市中央区安土町2-3-13　大阪国際ビル株式会社情報企画　採用担当Mail：jk-saiyo@jyohokikaku.co.jp,http://www.jyohokikaku.co.jp/
日本アイ・ビー・エムテクニカル・ソリューション株式会社（日本IBM 100％出資）,PC好きが集まるフィールドサービスエンジニア／未経験から活躍できる充実の研修制度,契約社員 ・雇用期間　12カ月・契約更新最長３年（正社員雇用への登用の道あり）,[掲載予定期間：2018/1/11（木）～2018/3/7（水）] 求人コード 3002068101,◆　未経験歓迎・全国で募集　◆昨今、IoT技術の発展やAIの普及がさらに社会に大きな変化をもたらしていく中で、複雑化するシステムの安定稼動がますます求められていきます。私たちはそれらを安心・安全に使用していただくためにハードウェア保守サービスを提供しています。今後注力する事業で、さらに高品質のサービスを提供するために今回、新たなメンバーを未経験から募集します。世界最先端技術を発信し続ける、約40万人の社員を擁するIBMグループの一員として高い技術力・品質のサービスを提供していきませんか？IBM本社と連動した充実の研修で、先端技術に触れながら一緒に成長していきましょう。,PCのハードウェアトラブル全般にわたるフィールドサポート業務をご担当いただきます。 具体的な仕事内容 法人・個人から依頼のあったマルチベンダーのPC製品の故障について、実際に依頼先に出向き修復作業を提供するお仕事です。■ 業務範囲と流れ――――――――― 保守契約をされているお客さまの機械（ノートPC、デスクトップPC、タブレット等）に不具合が発生した場合、お客さまからサービスデスクに訪問修理の依頼が入ります。たとえば、「ネットワークにつながらなくなった」「PCが動かなくなった」などの問合せに対応します。サービスデスクでは故障内容、交換部品の特定、交換部品の手配を実施。並行して技術員には、サービスデスクから対象機器と訪問修理するお客さま・場所などの情報とともに修理依頼が届きます。技術員は上記の依頼に従ってお客さまを訪問。故障部品を交換し、修理作業を実施します。修理完了後は、お客さまに報告書を提出します。■ 入社後のイメージ――――――――――入社後１～３週間、入社オリエンテーション、ハードウェア保守員向けの各種研修を受講していただきます。たとえば、保守をお願いするベンダー指定の e-Learning 研修の受講や、技術員指導のもと研修機での実機研修を行います。その後、数日～２週間程度のOJTによるお客さま先訪問、修理作業実施、報告書作成を実施していただく流れとなります。（お持ちのスキルやご経験によって研修順序、内容、期間は異なることがあります）慣れてきたら、東京地区で1日3～4件程度、その他地区では1日2～3件程度、お客さま先を訪問します。※全国の社員の修理結果なども共有し、再発防止にも取り組んでいます。 チーム／組織構成 全社として若手から経験豊富な社員まで各年代がバランスよく在籍。外国籍の社員もいますが、日本のお客さま対応をしているので、日本語が流暢です。IT業界の経験がなくても、家電量販店での販売経験のある方や、PC操作が好きな方などに幅広く活躍していただける環境です。お客さまから頼られる存在となるため、やりがいも十分です。 残業は少なめです ほとんどのケースでは前日までに作業予定が決まっており、そのスケジュールに従い作業を行っていただくような業務です。そのため、残業は少なめです。,IBMコンピューター／サーバー／ネットワーク等の保守サービス,〒261-8522 千葉県千葉市美浜区中瀬1-1,1993年5月25日,代表取締役社長 大西 豊明,,"2,100万円",,,【連絡先】日本アイ・ビー・エム テクニカル・ソリューション株式会社〒261-8522 千葉県千葉市美浜区中瀬1-1 採用担当e-mail：Saiyo08@jp.ibm.com,https://www-935.ibm.com/services/jp/ja/sgc/tsol/jp-tsol-index.html
富士シート株式会社,社内SE／ダイハツ車の内装品メーカーで、社内システムの大改革をお任せ！　★賞与5ヶ月分,正社員,[掲載予定期間：2017/12/7（木）～2018/2/7（水）] 求人コード 3001999714,自動車のシートをはじめとした、各種自動車内装品を作っている当社。お取引先はダイハツ工業など、大手自動車メーカーです。業務効率化を図るため、このたび社内システムを一新することとなりました。2年後の新システム導入を目指し、サーバやネットワーク、システム開発などITインフラに精通する方を募集します。 海外販路を拡大中。創業80年の安定企業 お取引先メーカーの海外進出にともない、当社もインドネシア・マレーシアにて現地生産を行っています。海外拠点での生産も非常に好調であり、業績は安定成長。また様々な変化のある自動車業界で、当社はシートなど内装品を扱っているため他の技術に代わることもありません。安定した環境で、腰を落ち着けて仕事に取り組んでいただくことができます。,新システム導入に伴う開発・運用ほか、各部署へのヒアリングやヘルプデスク業務をお任せします。 具体的な仕事内容 ■社内システムの開発・運用2年後を目安に、社内の基幹システムのリプレイスを行います。そのために、まずは「システムで使いにくい部分はありませんか」「こんな機能が欲しい、という意見はありますか」など、現場のメンバーへのヒアリングが必要です。特に工場では日報や生産管理表など、紙ベースで管理しているものも多いため、状況を整理してデータ化を進めていきたいと考えています。その後、協力会社（ベンダー）と打ち合わせをして、インフラの設計・構築、システム開発を進めていきます。内製化できる部分は自分たちで取り組み、難しい部分は協力会社へ任せていきましょう。■ヘルプデスク業務、機器管理・購入対応「新しいPCを導入したいです」「工場内のネットワークにトラブルが発生しています」といった問い合わせに対応します。分からないことがあれば、すぐ近くにいる先輩社員に何でも聞いてください。数ヶ月もすれば、社内の各種システムや機器に関して把握していただけると思います。■FA化IoT化推進業務工場系のシステム開発・運用経験のある方には、監視制御システムの導入や生産工程の省人化、工場全体の省力化に取り組んでいただきたいと考えています。例えば工場の稼働率・日々の作業進捗を集約して管理者に報告するシステムなど、作業効率化・ヒューマンエラー防止につながるシステムを導入する予定です。 チーム／組織構成 3名のSEが所属する“IT推進グループ”への所属となります。入社後は業務の流れを覚えていただくところからスタートしますので、異業種出身の方もご安心ください。実際の業務はスキル・適性を見ながら、徐々にお任せしていきます。★近い将来、グループメンバーを10名規模に増員し、当社のもつモノづくりの力をITの面から後押ししたいと考えています。また、社歴や年齢に関わらず積極的なアイディアを歓迎する社風、実力のある方に上のポジションをお任せする環境があります。「こうした方が良いのでは？」という意見があれば、ぜひ気軽に発信してください。,自動車用シートの設計開発および自動車用内装品の製造・販売,〒561-0814 本社工場／大阪府豊中市豊南町東2-4-6,1959年12月（創業：1935年）,代表取締役社長 山田 博明,1076名,1億8000万円,474億円（2017年3月期実績）,,【本社工場 総務人事部】〒561-0814大阪府豊中市豊南町東2-4-6担当採用担当TEL06-6332-3331,http://www.fujiseat.co.jp
株式会社アクシア,Web開発エンジニア／残業ほぼなし、服装自由、お昼12時出社,正社員 試用期間3ヶ月（給与に変動はありません）※期間終了後、昇給の機会があります。,[掲載予定期間：2018/2/1（木）～2018/3/28（水）] 求人コード 3002114278,クオリティの高いウェブサイト制作やポータルサイト自動更新システムを提供している当社。おかげさまで多くのユーザーにご支持をいただき業績も好調です。現在、既存システムの充実および、クラウド化などを進めており、そのためWeb開発エンジニアが不足している状況です。そこで今回は、新しい仲間として活躍していただく方を募集しています。 こんなに働きやすい…100％自社内開発！ ★出社はお昼の12時…「午前中に自由になる時間があるのは結構便利！」とみんなに好評です。★残業ほぼ無し…納期は自分たちで設定！★私服で出勤…お客様・取引先と直接お会いすることはありません。★お菓子＆アイス食べ放題、ドリンク飲み放題！…ご自由にどうぞ。,主にポータルサイトの一括更新システムの開発・運営（飲食業界のお客様が中心です） 具体的な仕事内容 □■ 開発に専念できる自社開発システム！ ■□メインで担当していただくのは、自社開発のポータルサイト自動更新システムです。複数のポータルサイトの更新作業を自動で行うことができるもので、ランニングコストの圧縮や更新作業の工数削減など、円滑なサイト運営に貢献しています。お客様からの導入依頼やカスタマイズ・不具合の相談は社内のサポートセンターが対応しています。また、厳しい納期や不本意なオーダーも一切ないため、自由度の高い環境の中で仕事ができます。□■ 経験やスキルに合わせてお任せします！ ■□エンジニアはサポートセンターからの依頼を受けて要件定義や設計を行い、開発・実装を担当していきます。VB.NETの開発経験があれば問題ありません。あなたの経験に合わせて、できるところからお任せします。未経験の方は、アシスタント業務から始めていただくことも可能ですので、積極的にチャレンジしてください。□■ やりたいことが実現できる環境！ ■□数年中のクラウド化を予定しています。PHP、Rubyでの開発経験をお持ちの方であれば、先頭に立って開発をお任せします。その他にも、新しい自社製品を開発しラインナップに加えていきたいと考えているため、やりたいことが実現できる環境が広がっています。 チーム／組織構成 開発エンジニアは現在3名。フリーランスとしても活躍していた2名と、食品の営業からキャリアチェンジした1名の構成です。アメコミのフィギアが立つオフィス内はキレイで、常にリフレッシュしながら仕事に取り組める環境が自慢です。,自社開発ソフト運営、保守WEBサイト企画制作・運営事業・システム構築全般,〒530-0021 大阪府大阪市北区浮田1-1-20 アサヒビル本館1F,2016年11月,,,1000万円,,,株式会社アクシア〒530-0021大阪府大阪市北区浮田1-1-20 アサヒビル1FTel：06-6136-5788／採用担当【受付】平日12：00～21：00※土日祝日はお休みを頂戴しています。,http://axia-jp.jp/
日立物流ソフトウェア株式会社（日立物流グループ）,SE（ほぼ全てのプロジェクトが自社内勤務／時間外手当全額支給／産休・育休からの復職率100％）,正社員 試用期間3カ月（給与・待遇は変わりません）,[掲載予定期間：2018/2/1（木）～2018/3/28（水）] 求人コード 3002015784,昨今、人手不足が深刻化している物流業界。この問題に対応するべく、様々な物流システム開発を担う当社への期待は高まるばかり。期待に応え、期待以上のものを創造していくべく、人材の強化が必要となっています。短期的な人員補充ではなく、長期スパンで次世代を育てることを目的としていますので、意欲やポテンシャルを重視して、フレッシュな人材を仲間にお迎えしたいと考えています。“のびしろ”たっぷりなあなたを、お待ちしています！,物流システムの企画・開発・提案／顧客と直に対話し、システムを用いた課題解決のプランを考え、形にします 具体的な仕事内容 ＜未経験の方の入社後の流れ＞開発に欠かせないプログラミングの理論のレクチャーを受けて……　▼先輩SEのアシスタントとして、基礎的な業務からスタート業務例：システムのテスト、データの加工 など　▼慣れてきたら、プログラミングの実務にチャレンジ！　▼個々の習熟度に合わせながら、徐々にできることの範囲を広げていき……　▼開発プロジェクトチームの一員として活躍！※経験のある方は、スキルや経験値に見合った業務からスタートします。＜開発プロジェクトの例＞■大手家電メーカー／物流センター管理システム開発　タブレット端末を利用した業務効率化につながる管理システムを開発。■大手建機メーカー／物流管理システム開発　世界各地にある倉庫の共通インフラとして、グローバルな管理システムを開発。その他、多種多様なプロジェクトがあります。当社が企画から参加するプロジェクトが大半ですので、お客様と共に課題を分析し、「どんなシステムを導入するべきか」の検討を行い、お客様にとって本当に必要なものを形にしていくことができます。 チーム／組織構成 基本的に、各プロジェクトごとにチームを組んでシステムの企画・開発・導入を行います。チームの先輩たちの知識やノウハウを吸収しつつ実戦経験を重ね、じっくりと力を身につけていくことができます。　＜未経験入社→2～3年後のキャリアイメージ＞■プロジェクトを率いるPL（プロジェクトリーダ）やPM（プロジェクトマネージャ）■顧客課題の解決に注力する物流コンサルタント■海外プロジェクトでの活躍！などなど、幅広いキャリアパスが選べます。あなたの希望する方向へステップアップできるよう、サポートします。 ステップアップを後押しする充実研修 ■階層別研修新入社員向け導入研修・中堅社員向け研修・管理職向け研修など。階層ごとの研修で継続的な成長を促します。■専門研修SEに不可欠な専門知識を、20種類近いカリキュラムで学べます。※「PMP」という世界で通用する資格の取得も可能です（選抜制）。■ヒューマンスキル研修コミュニケーション・プレゼンテーション・リーダーシップなどビジネスに重要なヒューマンスキルを総合的に磨けます。,■情報システムの開発およびコンサルティング業務■パッケージソフトウェアの開発および販売業務■コンピュータおよび関連機器の販売業務■労働者派遣業務■情報処理の受託・コンピュータシステムの運営管理およびそれに伴う業務■前各号に付帯する一切の業務労働者派遣事業（派-13）第308293号,〒135-0016 東京都江東区東陽7-2-14　東陽MKビル 6F,1973年8月20日,取締役社長 浦山 一紀,590名（連結／2017年4月1日現在）,2億1000万円,125億3000万円（連結／2016年度実績）,,本社／〒135-0016 東京都江東区東陽7-2-14 東陽MKビル6F 担当／人財総務部 人事・勤労グループTEL／0077-78-1912,http://www.hitachi-hbsoft.co.jp
栄光ホールディングス株式会社,【社内SE】実務未経験者歓迎◆いずれはIT技術で当社を支えていただける方を募集！,正社員,[掲載予定期間：2018/1/22（月）～2018/3/18（日）] 求人コード 3002070338,創業より71年の歴史を持つ当社は、国内トップクラスの時計専門商社。全国各地での小売活動や、百貨店での小売事業によって、業績は好調です。今回は「財務IT部」の社内SEとして活躍していただける方の募集。現在グループ経営に移行したこともあり、チャンスは豊富にあります。実務経験がなくても、研修やOJTといったサポート体制を整えていますので、ぜひともこのタイミングで、ご応募・ご入社いただきたいと思います。,研修やOJTで基本を身につけていただいた後、各種社内システムの開発や運用に携わっていただきます！ 具体的な仕事内容 【まずは研修で基本を学ぶ】入社後は約半月間、ディスク演習を使用して基本的な知識を身につけていただきます。平行して簡単な業務もお任せしていき、慣れてきたら新しい内容を追加します。決して無理難題をいきなり任せるということはありません！研修後もOJTにて、先輩がサポートしていきます。【一人立ち後は…？】約一年で一人立ちしていただき、個別に案件をお任せしていきます。当然分からないことや不安に感じることもあると思いますが、上司や先輩は丁寧にフォローしてくれるので、安心して働けます！◆お任せする案件例◆⇒社内ユーザーからの問い合わせ対応や、PCのセットアップ業務⇒各種社内システムの開発進捗管理や導入のサポートなど⇒グループ各社のIT戦略や、システム企画の立案 チーム／組織構成 所属いただく「財務IT部」は、現在4名体制。各部署との連携や、パートナーなどとも密にコミュニケーションをとって、円滑に業務を進めていただければと思います。,■子会社管理■経営管理・リスクマネジメント業務■不動産賃貸業 他,〒541-0059 大阪府大阪市中央区博労町3-3-1,2016年4月1日,代表取締役社長 小谷 進,480名,"30,000千円",219億（2017年3月期）,,栄光ホールディングス株式会社総務人事課　採用担当TEL：06-6244-8805E-mail：saiyo@eikotokei.com,http://www.eikotokei.co.jp/
北都システム株式会社,【ITエンジニア（組込系・業務系・インフラ・社内SE)／ハードウェアエンジニア◆残業月平均20ｈ】,正社員,[掲載予定期間：2017/12/28（木）～2018/2/28（水）] 求人コード 3001935884,"【事業内容】大手ベンダーと協業しシステムの設計・開発・製造・テスト・納品を行うほか、商業関連・オフィス関連など自社開発プロダクツを多数リリースしています。中でもチェーンストア業向けツールとして本部と店舗の連携を強化する「店舗Linkle」、社員の知識やノウハウを共有し業務効率を向上する「HOT　Knowledge」など延べユーザー数は55,000ユーザーにのぼります。【募集背景】IoTからICTへ・・当社のスキルとクオリティ、そして信頼と実績で多くのクライアントからの受託・開発依頼などの打診も受けており、既存の継続案件の他、業務の拡充とスピード感を目指し次世代を担う人材を募集します。 ◆東京開催DODA転職フェアに出展◆ 日時：2月3日（土） 11:00～18:00場所：水道橋 東京ドームシティ　プリズムホール東京都文京区後楽1-3-61最寄駅：JR線「水道橋駅」徒歩2分、都営三田線「水道橋駅」徒歩1分、都営大江戸線「春日駅」徒歩6分＜転職フェアHPはこちら http://doda.jp/e/fair/＞※予約不要・入場無料・入退場自由※ご覧いただく日時により、フェアが終了している場合があります。",【大手ベンダーと協業し設計・開発・製造・テストといった業務系開発の他、自社プロダクツの開発・保守】 具体的な仕事内容 【自動車関連ソリューション/本社・新横浜・名古屋】◆メーカー各社ＥＣＵや機能安全システムの開発、ドライブレコーダー/デジタルタコグラフ開発、カーナビゲーションシステム開発◆試作ソフトウェア開発やデモ機制作、量産ソフトウェア開発【システムインテグレーション/本社・新横浜・大阪】◆IoT関連/無線通信技術、センサネットワーク技術、RFIDソリューションを活用した開発◆組込み関連/ロボット、スマートメーター、デバイスドライバ、複合機、ルーター、無線LAN、ホームゲートウェイなどの制御開発◆モバイル関連/4G/LTEに対応したデータ通信端末やスマートフォンの通信制御、Androidアプリケーション開発やプロトコル開発/評価、マルチメディア放送やFelicaサポート等、モバイルに関する組込み/制御技術開発◆航空宇宙関連/防衛・航空、宇宙事業の各分野におけるシステム・ソフトウェア開発◆金融関連/ネットバンキング、オンラインシステムやATMシステムの開発◆運送関連/鉄道に関する車両管理、保線、運送管理システムの他、物流・配送関連の開発【医療システムソリューション/本社・新横浜】◆電子カルテやシステム、検体検査・医事会計システム等の設計・開発・導入◆周産期システム、分娩監視装置・モニタリングシステム等の各種医療機器の設計・開発・導入◆ハードウェア(電子回路)の設計・開発【ＩＴソリューション/本社】◆ＩＴコンサルティング、クラウドサービスの提供（情報システムの企画・立案・構築・運用サポート）　◆自社製品の開発・販売・導入・保守＜＜JAXA（宇宙航空研究開発機構）様より発注いただいたプロジェクトについて＞＞2009年、ISS国際宇宙ステーション「きぼう」に搭載する、装置開発プロジェクトに参加し、JAXA（宇宙航空研究開発機構）様より感謝状をいただきました。当社の技術力とクオリティが評価されたもので、多くのエンジニアの励みとなっております。 チーム／組織構成 各拠点と取り組むプロジェクトの内容により変化しますが5名～20名規模のエンジニアでチームを組成し開発に取り組むケースや、業務によって大手ベンダーの一員として設計・開発・製造などに携わるケースがあります。,■社会・公共システムソリューション■医療システムソリューション■自動車関連及び組込システムソリューション■ITソリューション(自社開発プロダクト)■労働者派遣事業許可番号「派 01-300697」（本社） 　※特定労働者派遣事業「特 01-230045」（新横浜オフィス）【拠点】新横浜オフィス／名古屋オフィス／大阪オフィス,〒004-0052 【本社】　北海道札幌市厚別区厚別中央2条3丁目5ー11,1994年5月18日,代表取締役 執行役員社長 高橋 直樹,195名(2017年12月/男性167名・女性28名),7千万円,"17億5,090万円",,【本社】札幌市厚別区厚別中央2条3丁目5ー11011-896-7571（採用担当）【新横浜オフィス】横浜市港北区新横浜3丁目17-5　いちご新横浜ビル045-470-2773（採用担当）,http://www.hscnet.co.jp
株式会社菰下鎔断,社内SE(幹部候補)／創立82周年を迎える自動精密鎔断業のパイオニア,正社員 ※試用期間3ヵ月あり,[掲載予定期間：2017/12/28（木）～2018/2/28（水）] 求人コード 3002054350,長く社内SEとして活躍された方がこの度定年退職を迎えることになり、その業務を引きつぎ、さらに昇華させていただける方を募集することになりました。,社内SEとして、現場要望をくみ取りながら既存システムの改修や新システムの導入をお任せいたします。 具体的な仕事内容 社内の売掛管理、買掛管理、在庫管理といった基幹システムから、グループウェアなどの情報システム、それを支えるインフラ環境の開発・運用・保守メンテナンスをお願いいたします。＜具体的には＞■社内システムの開発・運用・保守メンテナンス■社内システムが円滑に稼働するためのインフラ環境整備と保守＜入社後は＞まずは2015年11月に導入された全社的なシステムの改修等をお任せします。今後は5年に1度のペースでサーバー等の変更・改修、10年に1度のペースで全社的なシステム変更を行っていきたいと考えており、その中心となってプロジェクトを進めていただきたいと考えています。 各現場と連携をとり、使いやすいシステムを 鎔断という専門技術で長年やってきた会社だからこそ、仕事の進め方など独特な「現場感」を理解する必要があります。はじめは分からないことばかりかもしれませんが、それぞれの現場と積極的にコミュニケーションを取っていただき、「日常のこの業務をシステム化すれば現場の役に立ちそうだ」といった観点で業務を進めていただくことが重要です。 チーム／組織構成 「SE部門ではSE経験者の主任1名、システム対応の一般社員が2名の計3名で構成しております。今回、主任のサポート役開発担当としてSE経験者を募集しております。」,鎔断品、ガラス鋼管品、高圧継子品の製造販売,〒597-0095 大阪府貝塚市港14番地の2,1936年,代表取締役社長 菰下 千代美,150名,2億160万円,75億円(2016年度),,株式会社菰下鎔断総務部　担当者(電話)072-432-0369,http://www.komoshita.co.jp/index.html
東明エンジニアリング株式会社（東明グループ）,＼実務未経験歓迎／システムエンジニア・プログラマー（ソフトウェア評価など簡単な業務から始められます）,正社員 ※試用期間6カ月あり（その間、賞与・退職金は支給されません。）,[掲載予定期間：2017/12/28（木）～2018/3/28（水）] 求人コード 3002051496,1990年の設立以来、航空宇宙産業に携わり、高い技術力で多くのお客様の事業を支えてきた東明グループ。今回新たに、お取引先からのご要望にお応えするため、システム開発という新事業に乗り出すことになりました。そこで、システムエンジニア・プログラマーを募集します。 安定の東明グループ 従業員約1800人が在籍し、創業から50年以上の歴史を誇る東明グループ。安定した環境があるからこそ、将来を見据えて働き続けることが可能です。10年、20年と長く勤める社員が多くいることも当社の特徴です。退職金制度、住宅補助、家族手当など、福利厚生も充実。安心して働ける環境をお求めでしたら、ぜひ当社へお越しください。,【大手メーカーとの取引多数！】　自動車・鉄道・家電関連の組込・制御系システムの開発をお任せします。 具体的な仕事内容 例えば、自動車の歴史をたどると、追突事故を防ぐ安全走行補助機能がついたり、車線を維持する機能がついたりと、日々進化を遂げてきました。その進化を支えてきたのが、車というハードに組み込まれたシステムです。当社では、新たな事業としてシステム開発領域に乗り出し、自動車・鉄道・家電関連の制御系システムの開発を担っていきます。【お任せする仕事内容について】今回、当社が新たに立ち上げたシステム事業部において、システムエンジニアもしくは、プログラマーのポジションをお任せします。現在、大手メーカーからの依頼が多数あり、自動車、鉄道、家電関連など様々なプロジェクトがあります。特に自動車の車載ECU開発案件は充実しています。担当フェーズとしては、要件定義から、設計、プログラミング、保守・運用まであなたのスキルやご経験に合わせてお任せします。 チーム／組織構成 【実務未経験の方も歓迎します】実務経験の有無は問いません。OJTで基礎を身につけていただき、開発や設計へとチャレンジしていただければと思います。例えば、プログラマーが作ったものが、ちゃんと動くのかを確認をする評価業務などからお任せできればと思います。情報系の専門学校や大学を卒業し、プログラミングやシステムの設計を仕事にしたい、とお考えの方はご応募ください！ 開発環境 開発言語は主にCやJavaになります。,■航空宇宙産業及び、各種輸送機器関連の開発、設計■航空宇宙産業及び、各種輸送機器関連の試験装置・治工具などの設計、食品関連機械装置の設計■一般治工具の設計■油圧・空気圧試験装置の設計■一般産業機械、専用機械の設計■製造支援人材派遣（設計、生産技術、生産管理 等　般23-300827）,〒455-0024 愛知県名古屋市港区大江町6-19 菱興ビル南館4F（本社）,1990年9月,代表取締役 二ノ宮 啓,220名（2016年11月時点）,1000万円,12億8000万円（2016年12月期実績）,33歳,東明エンジニアリング株式会社（名駅営業所）住所：愛知県名古屋市中村区名駅南1-24-30　名古屋三井ビル本館 1802号電話番号：052-589-3151（石黒／遠藤宛）,http://www.tohmei.com/engineering/
株式会社NTTデータ ニューソン（NTTデータグループ）,開発エンジニア（Java、C#、PHP、.NET経験が活かせます）／月給26～44万円＆賞与年2回,正社員 試用期間3カ月（その間の給与・待遇に差異はありません）,[掲載予定期間：2017/12/28（木）～2018/2/28（水）] 求人コード 3001985683,2017年、NTTデータグループとなり、新しいスタートを踏み出した当社。1974年の設立以来、多様な分野の受託開発を行い、多くの企業様から厚い信頼を得ています。最近では、システム開発の知識と経験を7つのソリューション（モバイル、BPM、ビッグデータ、IoT、ERP&EC、開発支援、クラウド）を展開。今後も、様々な場面においてNTTデータグループとのシナジー効果を発揮し、より一層の成長を目指して参ります。そのために必要なのは、意欲溢れるITエンジニアの存在です。エンジニアの発想力・課題解決力・コミュニケーション力を大切にする当社で、あなたの能力をさらに伸ばしていきませんか。 ◆◇DODA転職フェアに出展します◇◆ 担当者が直接当社についてご説明します。ぜひご来場ください！（予約不要・入場無料・履歴書不要）日時：2月17日（土）11：00～18：00会場：熱田／国際会議場イベントホール（名古屋市）日時：2月24日（土）11：00～18：00会場：天神／アクロス福岡（福岡市）　　転職フェアHPは→http://doda.jp/e/fair/※ご覧いただく日によっては終了している場合があります。,多様な分野のWebアプリケーション開発をご担当いただきます。※メーカー・通信キャリア・金融機関案件等 具体的な仕事内容 多様なプロジェクトの中から、あなたの経験・スキル・希望に合わせてアサインいたします。また、基本的にチームでの配属となりますので、ご安心ください。【具体的には】・要件定義～基本設計の上流工程・プロジェクトマネジメント・Webアプリケーション系開発全般(設計～開発・運用)※案件により担当範囲が異なります【多様な案件により、エンジニアとしての価値を高められます】大規模企業システムの開発はもちろん、Web関連、金融関連、モバイル関連と開発内容も様々。最先端技術を学び、エンジニアとしての自分の市場価値を大きく高めることができる環境です。【新規事業も展開！】NTTデータとスマートデバイスソリューションの提供を開始するほか、ビッグデータを中心に様々なソリューションを展開。価値ある技術・ノウハウを身に付けることが可能です。【様々な技術・キャリアを選択できる環境】システム開発、ネットワーク開発、先端技術開発、組込開発など、様々なプロジェクトを経験できるほか、メーカー、通信キャリア、金融機関など、お客様の業種業界も多岐に渡ります。多様な経験は、あなたにとって大きな武器になるでしょう。また、管理職としてのキャリアパスだけではなく、技術特化型の人材が活躍できるよう、専門職コースも設けています。 チーム／組織構成 チーム配属が中心のため、非常にまとまりがある雰囲気です。また、キャリア採用を中心として人員を拡大してきた組織のため、中途入社の社員が多く、様々なバックグラウンドを持つ人材と切磋琢磨できます。,情報システムの企画、設計、開発、保守、運用、労働者派遣、その他これらに関する一切の業務,〒107-0052 東京都港区赤坂2-2-12 NBF赤坂山王スクエア,1974年2月,代表取締役社長 戸村 元久,407名（2017年6月現在）,4億9000万円,52億1400万円（2016年3月期）,,〒107-0052 東京都港区赤坂2-2-12　NBF赤坂山王スクエア6F 株式会社NTTデータ ニューソン　人事部 採用担当Email／saiyo@newson.co.jp,https://www.newson.co.jp/
